Generated with
tshark -r wired-prefetch.pcapng -T fields -e frame.number -e frame.time -e ip.src -e ip.dst -e tcp.len -E header=y -E separator=, -E quote=d -E occurrence=f  > wired-prefetch.csv

frame.number,frame.time,ip.src,ip.dst,tcp.len
"201","Dec  3, 2015 17:38:17.705706000","10.0.2.15","167.114.84.145","0"
"202","Dec  3, 2015 17:38:17.705788000","167.114.84.145","10.0.2.15","1448"
"203","Dec  3, 2015 17:38:17.705792000","10.0.2.15","167.114.84.145","0"
"204","Dec  3, 2015 17:38:17.705840000","167.114.84.145","10.0.2.15","1448"
"205","Dec  3, 2015 17:38:17.705843000","10.0.2.15","167.114.84.145","0"
"206","Dec  3, 2015 17:38:17.706532000","10.0.2.15","167.114.84.145","543"
"207","Dec  3, 2015 17:38:17.706575000","167.114.84.145","10.0.2.15","0"
"208","Dec  3, 2015 17:38:17.724784000","167.114.84.145","10.0.2.15","1448"
"209","Dec  3, 2015 17:38:17.724909000","10.0.2.15","167.114.84.145","0"
"210","Dec  3, 2015 17:38:17.725013000","167.114.84.145","10.0.2.15","1448"
"211","Dec  3, 2015 17:38:17.725092000","10.0.2.15","167.114.84.145","0"
"212","Dec  3, 2015 17:38:17.725156000","167.114.84.145","10.0.2.15","1448"
"213","Dec  3, 2015 17:38:17.725210000","10.0.2.15","167.114.84.145","0"
"214","Dec  3, 2015 17:38:17.725680000","10.0.2.15","167.114.84.145","543"
"215","Dec  3, 2015 17:38:17.725761000","167.114.84.145","10.0.2.15","0"
"216","Dec  3, 2015 17:38:17.736127000","167.114.84.145","10.0.2.15","1448"
"217","Dec  3, 2015 17:38:17.736230000","10.0.2.15","167.114.84.145","0"
"218","Dec  3, 2015 17:38:17.736318000","167.114.84.145","10.0.2.15","1448"
"219","Dec  3, 2015 17:38:17.736339000","10.0.2.15","167.114.84.145","0"
"220","Dec  3, 2015 17:38:17.736409000","167.114.84.145","10.0.2.15","1448"
"221","Dec  3, 2015 17:38:17.736419000","10.0.2.15","167.114.84.145","0"
"222","Dec  3, 2015 17:38:17.736528000","167.114.84.145","10.0.2.15","1635"
"223","Dec  3, 2015 17:38:17.736534000","10.0.2.15","167.114.84.145","0"
"224","Dec  3, 2015 17:38:17.736791000","10.0.2.15","167.114.84.145","543"
"225","Dec  3, 2015 17:38:17.736826000","167.114.84.145","10.0.2.15","0"
"226","Dec  3, 2015 17:38:17.752703000","10.0.2.15","167.114.84.145","543"
"227","Dec  3, 2015 17:38:17.752795000","167.114.84.145","10.0.2.15","0"
"228","Dec  3, 2015 17:38:17.754728000","10.0.2.15","167.114.84.145","543"
"229","Dec  3, 2015 17:38:17.754829000","167.114.84.145","10.0.2.15","0"
"230","Dec  3, 2015 17:38:17.805372000","167.114.84.145","10.0.2.15","1448"
"231","Dec  3, 2015 17:38:17.805545000","10.0.2.15","167.114.84.145","0"
"232","Dec  3, 2015 17:38:17.805676000","167.114.84.145","10.0.2.15","1448"
"233","Dec  3, 2015 17:38:17.805706000","10.0.2.15","167.114.84.145","0"
"234","Dec  3, 2015 17:38:17.805756000","167.114.84.145","10.0.2.15","731"
"235","Dec  3, 2015 17:38:17.815457000","167.114.84.145","10.0.2.15","1448"
"236","Dec  3, 2015 17:38:17.815551000","10.0.2.15","167.114.84.145","0"
"237","Dec  3, 2015 17:38:17.815632000","167.114.84.145","10.0.2.15","1448"
"238","Dec  3, 2015 17:38:17.815672000","10.0.2.15","167.114.84.145","0"
"239","Dec  3, 2015 17:38:17.815861000","167.114.84.145","10.0.2.15","1448"
"240","Dec  3, 2015 17:38:17.815873000","10.0.2.15","167.114.84.145","0"
"241","Dec  3, 2015 17:38:17.816009000","167.114.84.145","10.0.2.15","1448"
"242","Dec  3, 2015 17:38:17.816013000","10.0.2.15","167.114.84.145","0"
"243","Dec  3, 2015 17:38:17.816078000","167.114.84.145","10.0.2.15","1448"
"244","Dec  3, 2015 17:38:17.816081000","10.0.2.15","167.114.84.145","0"
"245","Dec  3, 2015 17:38:17.816168000","167.114.84.145","10.0.2.15","1448"
"246","Dec  3, 2015 17:38:17.816181000","10.0.2.15","167.114.84.145","0"
"247","Dec  3, 2015 17:38:17.816299000","167.114.84.145","10.0.2.15","1448"
"248","Dec  3, 2015 17:38:17.816303000","10.0.2.15","167.114.84.145","0"
"249","Dec  3, 2015 17:38:17.816387000","167.114.84.145","10.0.2.15","1448"
"250","Dec  3, 2015 17:38:17.816391000","10.0.2.15","167.114.84.145","0"
"251","Dec  3, 2015 17:38:17.816513000","167.114.84.145","10.0.2.15","1448"
"252","Dec  3, 2015 17:38:17.816517000","10.0.2.15","167.114.84.145","0"
"253","Dec  3, 2015 17:38:17.816625000","167.114.84.145","10.0.2.15","1448"
"254","Dec  3, 2015 17:38:17.816628000","10.0.2.15","167.114.84.145","0"
"255","Dec  3, 2015 17:38:17.816761000","167.114.84.145","10.0.2.15","1448"
"256","Dec  3, 2015 17:38:17.816765000","10.0.2.15","167.114.84.145","0"
"257","Dec  3, 2015 17:38:17.816897000","167.114.84.145","10.0.2.15","1448"
"258","Dec  3, 2015 17:38:17.816902000","10.0.2.15","167.114.84.145","0"
"259","Dec  3, 2015 17:38:17.820493000","10.0.2.15","167.114.84.145","543"
"260","Dec  3, 2015 17:38:17.820576000","167.114.84.145","10.0.2.15","0"
"261","Dec  3, 2015 17:38:17.835662000","167.114.84.145","10.0.2.15","1448"
"262","Dec  3, 2015 17:38:17.835784000","10.0.2.15","167.114.84.145","0"
"263","Dec  3, 2015 17:38:17.835902000","167.114.84.145","10.0.2.15","1448"
"264","Dec  3, 2015 17:38:17.835941000","10.0.2.15","167.114.84.145","0"
"265","Dec  3, 2015 17:38:17.836091000","167.114.84.145","10.0.2.15","1448"
"266","Dec  3, 2015 17:38:17.836116000","10.0.2.15","167.114.84.145","0"
"267","Dec  3, 2015 17:38:17.846605000","167.114.84.145","10.0.2.15","1448"
"268","Dec  3, 2015 17:38:17.846624000","10.0.2.15","167.114.84.145","0"
"269","Dec  3, 2015 17:38:17.846655000","167.114.84.145","10.0.2.15","1448"
"270","Dec  3, 2015 17:38:17.846660000","10.0.2.15","167.114.84.145","0"
"271","Dec  3, 2015 17:38:17.846836000","167.114.84.145","10.0.2.15","1448"
"272","Dec  3, 2015 17:38:17.846851000","10.0.2.15","167.114.84.145","0"
"273","Dec  3, 2015 17:38:17.846938000","167.114.84.145","10.0.2.15","1448"
"274","Dec  3, 2015 17:38:17.846942000","10.0.2.15","167.114.84.145","0"
"275","Dec  3, 2015 17:38:17.847048000","167.114.84.145","10.0.2.15","1448"
"276","Dec  3, 2015 17:38:17.847053000","10.0.2.15","167.114.84.145","0"
"277","Dec  3, 2015 17:38:17.847151000","167.114.84.145","10.0.2.15","1448"
"278","Dec  3, 2015 17:38:17.847153000","10.0.2.15","167.114.84.145","0"
"279","Dec  3, 2015 17:38:17.847273000","167.114.84.145","10.0.2.15","1448"
"280","Dec  3, 2015 17:38:17.847287000","10.0.2.15","167.114.84.145","0"
"281","Dec  3, 2015 17:38:17.847338000","167.114.84.145","10.0.2.15","389"
"282","Dec  3, 2015 17:38:17.885845000","10.0.2.15","167.114.84.145","0"
